Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jarrett Allen,26,CLE,C,28,28,826,21.5,.720,.005,.443,8.8,29.2,19.3,8.3,1.6,2.6,10.0,15.2,2.7,1.5,4.2,.243,2.6,0.9,3.5,1.1,,29.5,5.5,7.8,.699,0.0,0.0,.000,5.5,7.8,.702,.699,2.5,.732,2.3,8.0,10.3,1.8,1.0,0.8,1.0,1.2,13.5
Toumani Camara,24,POR,PF,27,27,826,10.7,.545,.535,.138,7.3,11.4,9.3,9.4,2.3,1.5,15.4,13.7,0.4,0.5,0.8,.048,-1.8,-0.2,-1.9,0.0,,30.6,3.4,8.0,.429,1.6,4.3,.371,1.9,3.7,.495,.528,1.1,.733,2.1,3.1,5.2,2.0,1.4,1.6,2.9
Jerami Grant,30,POR,PF,25,25,825,12.4,.532,.503,.265,1.6,10.9,6.1,11.0,1.5,2.9,8.8,20.7,0.5,0.3,0.8,.049,-0.4,-1.0,-1.3,0.1,,33.0,5.2,13.4,.390,2.6,6.8,.379,2.7,6.7,.401,.485,3.6,.820,3.2,3.7,2.4,1.0,1.0,1.4,2.4,16.0
RJ Barrett,24,TOR,SG,24,24,824,17.1,.546,.301,.312,2.9,18.8,10.7,29.1,1.1,1.3,13.8,30.3,0.5,0.5,1.0,.059,1.6,-1.0,0.7,0.6,,34.3,8.6,19.0,.455,2.0,5.7,.350,6.6,13.3,.500,.508,4.3,5.9,.725,0.9,5.8,6.8,6.1,0.8,3.5,2.6,23.5
Christian Braun,23,DEN,SG,24,24,822,14.4,.652,.266,.324,3.7,11.6,7.8,7.0,1.8,1.7,10.4,15.7,1.3,0.6,2.0,.115,-0.2,-0.4,-0.5,0.3,,34.3,5.7,10.0,.564,1.1,2.7,.406,4.6,7.4,.621,.618,2.5,3.3,.782,1.1,3.8,4.9,0.7,2.3,15.0
Myles Turner,28,IND,C,26,26,821,14.0,.594,.449,.272,4.4,20.8,12.7,7.2,1.3,6.1,16.1,20.7,0.0,0.9,0.9,.050,-1.8,-0.2,-2.0,0.0,,31.6,5.3,11.3,.473,2.1,5.1,.409,3.3,6.2,.525,.565,2.3,3.1,.738,1.2,5.8,7.0,1.6,0.8,2.1,2.4,3.2,15.0
Nikola JokiÄ,29,DEN,C,22,22,819,31.9,.652,.213,.308,10.9,26.5,19.0,44.0,2.3,1.6,13.8,31.2,3.8,1.1,4.9,.286,10.1,2.7,12.8,3.0,,37.2,11.8,21.0,.564,2.2,4.5,.500,9.6,16.5,.581,.617,5.2,6.5,.803,3.6,9.4,13.0,9.8,1.8,0.7,2.0,31.0
DeMar DeRozan,35,SAC,SF,23,23,816,18.6,.572,.129,.371,1.5,10.8,6.2,17.1,2.1,1.3,7.9,25.3,1.5,0.7,2.2,.131,0.8,-0.2,0.7,0.5,,35.5,8.0,16.5,.487,.306,7.4,14.4,.514,.507,5.3,6.1,.858,3.4,3.9,4.0,1.6,1.7,2.0,22.0
Darius Garland,25,CLE,PG,27,27,810,20.2,.618,.454,.203,2.0,7.0,4.6,31.1,1.6,0.8,13.2,26.9,2.2,0.8,3.0,.178,3.8,-1.1,2.7,1.0,,30.0,7.2,14.9,.481,2.9,6.8,.426,4.3,8.1,.527,.578,2.9,.939,0.5,2.5,6.4,0.3,2.5,2.3,20.1
Kelly Oubre Jr.,29,PHI,SF,25,22,804,13.1,.556,.397,.206,5.6,15.8,10.4,7.8,1.9,1.5,10.1,18.3,0.5,0.9,1.4,.082,-1.2,-0.2,-1.5,0.1,,32.2,5.2,11.1,.466,4.4,.327,3.7,6.7,.557,.531,1.7,2.3,.737,1.6,4.1,5.8,1.6,1.2,2.9,13.4
