Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Jay Huff,26,MEM,C,27,1,410,18.8,.667,.641,.246,4.5,14.2,9.5,7.3,0.9,7.3,8.4,19.7,1.0,0.7,1.7,.196,2.6,1.3,4.0,0.6,
Jeremy Sochan,21,SAS,PF,14,11,409,18.3,.576,.145,.346,11.2,19.9,15.6,15.2,1.9,2.2,12.8,22.0,0.6,0.5,1.0,.120,0.7,0.4,1.1,0.3,
Jordan Clarkson,32,UTA,SG,16,2,405,13.8,.522,.461,.272,2.8,11.6,7.3,24.9,1.7,0.7,14.5,28.0,0.0,0.0,0.0,.002,-0.5,-2.5,-3.0,-0.1,
Dalano Banton,25,POR,PG,24,0,400,15.9,.527,.427,.271,2.3,13.1,7.5,25.8,2.7,3.1,15.2,27.3,-0.1,0.3,0.3,.031,1.4,0.0,1.4,0.3,
Lindy Waters III,27,GSW,SG,22,8,394,9.8,.515,.707,.041,2.8,12.6,7.6,10.3,1.8,1.2,6.0,14.0,0.2,0.5,0.7,.085,-2.8,0.6,-2.2,0.0,
Kevon Looney,28,GSW,C,24,5,394,18.5,.516,.000,.375,20.9,26.4,23.6,15.1,2.4,1.5,11.0,14.4,0.8,0.7,1.6,.191,-0.1,0.6,0.5,0.2,
Shake Milton,28,BRK,SG,23,0,390,12.1,.567,.450,.200,4.2,8.8,6.4,18.4,1.3,0.3,10.3,16.6,0.5,0.1,0.6,.073,-0.8,-1.1,-1.9,0.0,
Cam Reddish,25,LAL,SF,20,8,388,8.0,.595,.547,.321,2.6,8.7,5.6,5.3,2.8,1.4,14.2,7.9,0.2,0.3,0.5,.062,-4.2,1.2,-2.9,-0.1,
Jonathan Isaac,27,ORL,PF,23,0,386,16.9,.543,.517,.246,11.0,21.1,15.8,1.9,2.6,8.3,7.1,15.8,0.4,1.0,1.3,.166,-0.7,2.1,1.3,0.3,
Neemias Queta,25,BOS,C,23,5,386,14.9,.656,.024,.286,10.6,19.8,15.2,6.1,0.9,5.1,15.2,12.4,0.7,0.6,1.3,.161,-2.1,1.1,-1.0,0.1,
Julian Phillips,21,CHI,SF,27,2,385,10.4,.560,.615,.239,6.1,9.2,7.7,4.0,2.2,1.6,9.1,14.3,0.2,0.3,0.5,.059,-2.2,-0.4,-2.6,-0.1,
Jalen Smith,24,CHI,C,25,1,384,18.0,.595,.558,.286,10.0,26.5,18.4,6.8,1.1,4.5,8.3,19.6,0.7,0.4,1.1,.137,0.7,-0.9,-0.1,0.2,
Alex Caruso,30,OKC,SG,19,0,383,12.4,.478,.578,.083,3.1,12.3,7.7,15.1,4.5,3.2,11.7,14.3,0.0,1.0,1.0,.126,-2.8,4.5,1.8,0.4,
Kyle Lowry,38,PHI,PG,18,10,380,10.1,.550,.765,.338,2.0,9.1,5.3,18.0,2.5,1.6,14.3,10.5,0.4,0.4,0.7,.094,-2.7,1.8,-0.9,0.1,
Ryan Dunn,22,PHO,SF,22,9,378,9.0,.522,.631,.098,3.9,11.8,7.9,6.1,1.4,3.0,8.6,16.3,0.0,0.2,0.2,.023,-3.4,-0.6,-4.1,-0.2,
Johnny Juzang,23,UTA,SG,22,0,377,9.8,.558,.724,.102,3.3,10.8,7.1,9.1,0.9,1.0,7.7,16.0,0.4,-0.1,0.3,.038,-1.8,-2.2,-4.1,-0.2,
Jamal Shead,22,TOR,PG,26,0,376,7.3,.480,.419,.097,1.4,6.2,3.8,27.5,1.7,0.5,20.8,18.1,-0.3,0.1,-0.1,-0.019,-4.7,-1.6,-6.3,-0.4,
